$ 0; id * ( ( id + id ) * ( ( id + id ) * id ) ) $; d 5;
$ 0 (5, 'id'); * ( ( id + id ) * ( ( id + id ) * id ) ) $; r 6 (F -> id); Goto (0, F) = 3
$ 0 (3, 'F'); * ( ( id + id ) * ( ( id + id ) * id ) ) $; r 4 (T -> F); Goto (0, T) = 2
$ 0 (2, 'T'); * ( ( id + id ) * ( ( id + id ) * id ) ) $; d 7;
$ 0 (2, 'T') (7, '*'); ( ( id + id ) * ( ( id + id ) * id ) ) $; d 4;
$ 0 (2, 'T') (7, '*') (4, '('); ( id + id ) * ( ( id + id ) * id ) ) $; d 4;
$ 0 (2, 'T') (7, '*') (4, '(') (4, '('); id + id ) * ( ( id + id ) * id ) ) $; d 5;
$ 0 (2, 'T') (7, '*') (4, '(') (4, '(') (5, 'id'); + id ) * ( ( id + id ) * id ) ) $; r 6 (F -> id); Goto (4, F) = 3
$ 0 (2, 'T') (7, '*') (4, '(') (4, '(') (3, 'F'); + id ) * ( ( id + id ) * id ) ) $; r 4 (T -> F); Goto (4, T) = 2
$ 0 (2, 'T') (7, '*') (4, '(') (4, '(') (2, 'T'); + id ) * ( ( id + id ) * id ) ) $; r 2 (E -> T); Goto (4, E) = 8
$ 0 (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E'); + id ) * ( ( id + id ) * id ) ) $; d 6;
$ 0 (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E') (6, '+'); id ) * ( ( id + id ) * id ) ) $; d 5;
$ 0 (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E') (6, '+') (5, 'id'); ) * ( ( id + id ) * id ) ) $; r 6 (F -> id); Goto (6, F) = 3
$ 0 (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E') (6, '+') (3, 'F'); ) * ( ( id + id ) * id ) ) $; r 4 (T -> F); Goto (6, T) = 9
$ 0 (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E') (6, '+') (9, 'T'); ) * ( ( id + id ) * id ) ) $; r 1 (E -> E+T); Goto (4, E) = 8
$ 0 (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E'); ) * ( ( id + id ) * id ) ) $; d 11;
$ 0 (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E') (11, ')'); * ( ( id + id ) * id ) ) $; r 5 (F -> (E)); Goto (4, F) = 3
$ 0 (2, 'T') (7, '*') (4, '(') (3, 'F'); * ( ( id + id ) * id ) ) $; r 4 (T -> F); Goto (4, T) = 2
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T'); * ( ( id + id ) * id ) ) $; d 7;
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*'); ( ( id + id ) * id ) ) $; d 4;
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '('); ( id + id ) * id ) ) $; d 4;
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (4, '('); id + id ) * id ) ) $; d 5;
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (4, '(') (5, 'id'); + id ) * id ) ) $; r 6 (F -> id); Goto (4, F) = 3
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (4, '(') (3, 'F'); + id ) * id ) ) $; r 4 (T -> F); Goto (4, T) = 2
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (4, '(') (2, 'T'); + id ) * id ) ) $; r 2 (E -> T); Goto (4, E) = 8
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E'); + id ) * id ) ) $; d 6;
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E') (6, '+'); id ) * id ) ) $; d 5;
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E') (6, '+') (5, 'id'); ) * id ) ) $; r 6 (F -> id); Goto (6, F) = 3
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E') (6, '+') (3, 'F'); ) * id ) ) $; r 4 (T -> F); Goto (6, T) = 9
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E') (6, '+') (9, 'T'); ) * id ) ) $; r 1 (E -> E+T); Goto (4, E) = 8
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E'); ) * id ) ) $; d 11;
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (4, '(') (8, 'E') (11, ')'); * id ) ) $; r 5 (F -> (E)); Goto (4, F) = 3
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (3, 'F'); * id ) ) $; r 4 (T -> F); Goto (4, T) = 2
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (2, 'T'); * id ) ) $; d 7;
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*'); id ) ) $; d 5;
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (5, 'id'); ) ) $; r 6 (F -> id); Goto (7, F) = 10
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (10, 'F'); ) ) $; r 3 (T -> T*F); Goto (4, T) = 2
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (2, 'T'); ) ) $; r 2 (E -> T); Goto (4, E) = 8
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (8, 'E'); ) ) $; d 11;
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (4, '(') (8, 'E') (11, ')'); ) $; r 5 (F -> (E)); Goto (7, F) = 10
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T') (7, '*') (10, 'F'); ) $; r 3 (T -> T*F); Goto (4, T) = 2
$ 0 (2, 'T') (7, '*') (4, '(') (2, 'T'); ) $; r 2 (E -> T); Goto (4, E) = 8
$ 0 (2, 'T') (7, '*') (4, '(') (8, 'E'); ) $; d 11;
$ 0 (2, 'T') (7, '*') (4, '(') (8, 'E') (11, ')'); $; r 5 (F -> (E)); Goto (7, F) = 10
$ 0 (2, 'T') (7, '*') (10, 'F'); $; r 3 (T -> T*F); Goto (0, T) = 2
$ 0 (2, 'T'); $; r 2 (E -> T); Goto (0, E) = 1
$ 0 (1, 'E'); $; aceitar;